type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度
Feature,3863.0,迴龍派出所,Point,"121.40865874717997, 25.01892763980699",121.40865874717997, 25.01892763980699
Feature,10527.0,迴龍派出所,Point,"121.40869011772998, 25.01911882712397",121.40869011772998, 25.01911882712397
Feature,4970.0,迴龍商場,Point,"121.40685854232996, 25.018452082795005",121.40685854232996, 25.018452082795005
Feature,4971.0,迴龍商場,Point,"121.40709635580997, 25.018307777451955",121.40709635580997, 25.018307777451955
Feature,3864.0,龍華科技大學,Point,"121.40449997056999, 25.01768500082902",121.40449997056999, 25.01768500082902
Feature,20280.0,三角坑,Point,"121.61412, 25.218065",121.61412, 25.218065
Feature,1000187.0,五堵站,Point,"121.68571769444999, 25.075706046868966",121.68571769444999, 25.075706046868966
Feature,10048.0,一江新村,Point,"121.49811965743781, 25.00260106569218",121.49811965743781, 25.00260106569218
Feature,3048.0,一江新村,Point,"121.49812472810483, 25.002429657188728",121.49812472810483, 25.002429657188728
Feature,3770.0,乙天宮,Point,"121.4248, 25.15924",121.4248, 25.15924
Feature,3792.0,乙天宮,Point,"121.42455, 25.15893",121.42455, 25.15893
Feature,30101.0,七張(北新路),Point,"121.54278, 24.97148",121.54278, 24.97148
Feature,2853.0,七張(北新路),Point,"121.54265005885996, 24.97141",121.54265005885996, 24.97141
Feature,1001422.0,七張(寶橋路),Point,"121.54372327248998, 24.973873416883016",121.54372327248998, 24.973873416883016
Feature,1001187.0,七張(寶橋路),Point,"121.54366, 24.97395",121.54366, 24.97395
Feature,15038.0,九芎街,Point,"121.46489, 25.07899",121.46489, 25.07899
Feature,3638.0,九芎街,Point,"121.46496836804997, 25.078948770039027",121.46496836804997, 25.078948770039027
Feature,15037.0,九芎街口,Point,"121.46841, 25.07868",121.46841, 25.07868
Feature,3639.0,九芎街口,Point,"121.46855, 25.07848",121.46855, 25.07848
Feature,15039.0,九芎廟,Point,"121.46655239020997, 25.07915881579099",121.46655239020997, 25.07915881579099
Feature,3640.0,九芎廟,Point,"121.46657492757998, 25.078995538350036",121.46657492757998, 25.078995538350036
Feature,4681.0,二子坪,Point,"121.52552, 25.18604",121.52552, 25.18604
Feature,2851.0,二城,Point,"121.48624594717143, 24.951789753141252",121.48624594717143, 24.951789753141252
Feature,1000375.0,二城,Point,"121.48618482173482, 24.951534117938312",121.48618482173482, 24.951534117938312
Feature,3641.0,二重站,Point,"121.4737, 25.073",121.4737, 25.073
Feature,1000312.0,二重站,Point,"121.47374, 25.07267",121.47374, 25.07267
Feature,7654.0,人情味小鎮,Point,"121.63851, 25.06972",121.63851, 25.06972
Feature,2718.0,人情味小鎮,Point,"121.63896822089995, 25.069901409567027",121.63896822089995, 25.069901409567027
Feature,2991.0,八二三紀念公園,Point,"121.51509788403321, 25.00169648773504",121.51509788403321, 25.00169648773504
Feature,1001189.0,八二三紀念公園,Point,"121.51494, 25.00191",121.51494, 25.00191
Feature,12221.0,八分寮,Point,"121.64190279761999, 25.01139549906895",121.64190279761999, 25.01139549906895
Feature,2844.0,八分寮,Point,"121.64125064466174, 25.011105148284813",121.64125064466174, 25.011105148284813
Feature,3773.0,八仙樂園,Point,"121.39067451981998, 25.141981514059978",121.39067451981998, 25.141981514059978
Feature,3772.0,八仙樂園,Point,"121.39053874603995, 25.142291082826016",121.39053874603995, 25.142291082826016
Feature,4685.0,八仙橋頭,Point,"121.39191, 25.14294",121.39191, 25.14294
Feature,15017.0,八里,Point,"121.39844623809998, 25.146934815544977",121.39844623809998, 25.146934815544977
Feature,3774.0,八里,Point,"121.39817145766999, 25.147061935116973",121.39817145766999, 25.147061935116973
Feature,3776.0,八里服務站,Point,"121.40302, 25.14918",121.40302, 25.14918
Feature,15033.0,八里服務站,Point,"121.40293198279996, 25.148912104643983",121.40293198279996, 25.148912104643983
Feature,3780.0,八里區公所,Point,"121.40167, 25.14867",121.40167, 25.14867
