項次,出入口名稱,出入口編號,經度,緯度
1,頂埔站出口1,1,121.418218,24.959305999999998
5,松山機場站出口1,1,121.55233500000001,25.063717
9,忠孝復興站出口1,1,121.54314299999999,25.041797
14,大安站出口1,1,121.541949,25.033507999999998
27,動物園站出口1,1,121.579916,24.99825
29,大直站出口1,1,121.547104,25.080118
32,劍南路站出口1,1,121.555226,25.085174
35,西湖站出口1,1,121.566647,25.082339
37,港墘站出口1,1,121.57556000000001,25.080152
39,文德站出口1,1,121.58563999999998,25.078671
41,內湖站出口1,1,121.59426599999999,25.083745
43,大湖公園站出口1,1,121.602377,25.083894
45,葫洲站出口1,1,121.608047,25.072638
47,東湖站出口1,1,121.611129,25.067218
50,南港軟體園區站出口1,1,121.61581699999999,25.059995
52,南港展覽館站出口1,1,121.61693600000001,25.055847
60,小碧潭站出口1,1,121.53031100000001,24.971684
63,新店區公所站出口1,1,121.541124,24.967392999999998
65,七張站出口1,1,121.54306799999999,24.975025
67,大坪林站出口1,1,121.540874,24.982754
72,景美站出口1,1,121.54093300000001,24.992296
75,萬隆站出口1,1,121.538896,25.001367000000002
79,公館站出口1,1,121.534377,25.014509
83,台電大樓站出口1,1,121.528577,25.01962
88,古亭站出口1,1,121.522973,25.025976
97,中正紀念堂站出口1,1,121.51776399999999,25.033034
104,小南門站出口1,1,121.509752,25.036434
108,頂溪站出口1,1,121.51541399999999,25.012895
112,南勢角站出口1,1,121.50863899999999,24.990016
116,台大醫院站出口1,1,121.515731,25.040913
128,雙連站出口1,1,121.52058799999999,25.057499
130,民權西路站出口1,1,121.51945400000001,25.062641
140,圓山站出口1,1,121.52003300000001,25.070785
142,劍潭站出口1,1,121.525175,25.08503
145,士林站出口1,1,121.525966,25.094106
147,芝山站出口1,1,121.522636,25.102045999999998
149,明德站出口1,1,121.519153,25.109298000000003
152,石牌站出口1,1,121.515171,25.115007000000002
154,唭哩岸站出口1,1,121.50698700000001,25.120673
157,北投站出口1,1,121.49824,25.132316
159,新北投站出口1,1,121.503524,25.136968
162,復興崗站出口1,1,121.485373,25.137665
163,忠義站出口1,1,121.473169,25.131056
165,關渡站出口1,1,121.467215,25.125431
167,竹圍站出口1,1,121.459726,25.136971
169,紅樹林站出口1,1,121.45903899999999,25.154137
171,淡水站出口1,1,121.445355,25.168084
174,永寧站出口1,1,121.435254,24.966714
178,土城站出口1,1,121.44417299999999,24.973251
181,海山站出口1,1,121.44861499999999,24.985375
184,亞東醫院站出口1,1,121.45258100000001,24.998932999999997
187,府中站出口1,1,121.45907700000001,25.008485999999998
190,板橋站出口1,1,121.461754,25.013416
193,新埔站出口1,1,121.46745700000001,25.023063
198,江子翠站出口1,1,121.47191399999998,25.030298000000002
204,龍山寺站出口1,1,121.49953000000001,25.035484
207,善導寺站出口1,1,121.523009,25.045097
216,忠孝新生站出口1,1,121.531829,25.042784
220,忠孝敦化站出口1,1,121.550578,25.041642
228,國父紀念館站出口1,1,121.55666299999999,25.041838000000002
233,市政府站出口1,1,121.565459,25.041407999999997
237,永春站出口1,1,121.57512,25.040995000000002
242,後山埤站出口1,1,121.58141,25.044422
246,昆陽站出口1,1,121.592726,25.050319000000002
250,南港站出口1,1,121.606357,25.051910999999997
252,象山站出口1,1,121.56939399999999,25.033025
255,台北101/世貿站出口1,1,121.56167099999999,25.033107
260,信義安和站出口1,1,121.55260200000001,25.033376999999998
266,大安森林公園站出口1,1,121.534442,25.033693
272,輔大站出口1,1,121.43526399999999,25.032932000000002
276,新莊站出口1,1,121.452168,25.03615
278,頭前庄站出口1,1,121.460303,25.039844
282,先嗇宮站出口1,1,121.471319,25.046497
285,三重站出口1,1,121.48374799999999,25.055303
288,菜寮站出口1,1,121.490673,25.05971
292,大橋頭站出口1,1,121.51231899999999,25.06318
296,中山國小站出口1,1,121.526095,25.062839999999998
300,行天宮站出口1,1,121.533004,25.058316
304,東門站出口1,1,121.52799399999999,25.034157
312,蘆洲站出口1,1,121.464565,25.091463
315,三民高中站出口1,1,121.47254199999999,25.085494
317,徐匯中學站出口1,1,121.47988000000001,25.080303
319,三和國中站出口1,1,121.486398,25.076586
322,迴龍站出口1,1,121.41126399999999,25.021864
325,丹鳳站出口1,1,121.42228200000001,25.029048
327,南京復興站出口1,1,121.542121,25.052625
335,中山站出口1,1,121.520303,25.052414000000002
341,西門站出口1,1,121.507566,25.042137
347,松江南京站出口1,1,121.53238799999998,25.051842
355,北門站出口1,1,121.50986200000001,25.048737
358,台北小巨蛋站出口1,1,121.55153,25.051835999999998
363,南京三民站出口1,1,121.563643,25.051517
367,松山站出口1,1,121.577022,25.050171
373,秀朗橋站出口1,1,121.52573999999998,24.990418
383,幸福站出口1,1,121.460146,25.050126000000002
