年別,行政區,家庭戶數[戶],每戶人數[人],每戶成年人數[人],每戶就業人數[人],每戶所得收入者人數[人],一、所得收入總計[元],1.受僱人員報酬,[1]本業薪資,[2]兼業薪資,[3]其他收入,2.產業主所得,3.財產所得收入,4.自用住宅設算租金收入,5.經常移轉收入,[1]從私人,[2]從政府,[3]社會保險受益,[4]從企業,[5]從國外,6.雜項收入,二、非消費支出[元],1.利息支出,2.經常移轉支出,[1]對私人,[2]對政府,[3]社會保險,[4]對國外,三、消費支出[元],1.食品及非酒精飲料,2.菸酒及檳榔,3.衣著鞋襪及服飾用品,4.住宅服務、水電瓦斯及 其他燃料,[1]房地租及水費,[2]電費及燃料,5.家具設備及家務維護,6.醫療保健,7.交通,[1]個人交通工具之購置,[2]個人交通設備使用管理及 保養費,[3]乘交通設備及其他交通服務,[4]汽、機車保險費,8.通訊,9.休閒與文化,[1]套裝旅遊[不含自助旅遊],[2]娛樂消遣及文化服務,[3]書報雜誌文具,[4]教育消遣康樂器材及其附屬品,10.教育,11.餐廳及旅館,12.什項消費,可支配所得[元],消費支出[元],儲蓄[元],所得總額[元]
101年,總平均,1007687,3.21,2.64,1.39,1.71,1570778,947142,684856,72472,189815,169414,110376,103247,240357,98844,46281,93675,845,712,241,292500,17272,275227,88527,61229,121963,3508,973747,146586,7484,26975,291037,268357,22680,25643,116812,75845,5467,45324,21547,3508,30631,69412,36406,14496,6940,11570,40036,86372,56913,1278278,973747,304531,1683958
101年,松山區,79229,3.09,2.57,1.35,1.72,1728993,1077380,772024,84687,220669,206605,106348,108255,230062,89249,43675,93460,556,3123,343,363052,27363,335689,107456,87647,136592,3994,1061992,151542,6776,31540,324474,302749,21724,30316,125401,83420,5002,49405,25890,3124,30075,77212,43518,15158,6775,11761,33771,98448,69016,1365941,1061992,303950,1870252
101年,信義區,87400,3.45,2.76,1.5,1.79,1643281,1046753,783312,61613,201828,171737,93690,95462,235249,83801,43961,105533,1003,952,389,301331,18420,282910,89965,50994,140353,1597,982926,148424,7668,27183,283316,260661,22655,25444,124146,74882,5681,48399,18316,2487,33793,75331,37033,16905,7017,14376,41052,87622,54066,1341951,982926,359024,1755265
101年,大安區,118421,2.88,2.49,1.21,1.72,1818332,1067369,702859,159873,204637,155546,224020,129668,241511,106617,45001,88662,1232,-,218,340185,15494,324691,111058,97914,114320,1399,1113472,153644,6420,40561,353411,329578,23833,33350,130474,71579,228,38890,28738,3723,32677,91128,49707,17429,7737,14633,44085,89455,66689,1478147,1113472,364675,1958269
101年,中山區,94852,3.1,2.66,1.37,1.68,1528923,952595,663296,106312,182987,156789,73456,113876,232073,104552,46922,80276,323,-,134,287170,20417,266752,99532,48063,112438,6720,965483,147139,6805,24783,287572,264864,22708,23203,108831,90926,16781,49113,21545,3487,32025,68466,35097,14228,7737,11404,43045,76595,56093,1241754,965483,276271,1625775
101年,中正區,63449,3.06,2.44,1.14,1.62,1611679,815665,587827,78020,149818,205280,192952,95151,302366,154048,46924,92470,4118,4806,266,274992,16761,258231,103604,49205,102085,3337,987505,149175,6105,26882,306158,282812,23345,29214,121277,69009,8347,39278,17822,3562,29277,81466,50017,14119,6364,10965,35262,75887,57793,1336687,987505,349182,1738316
101年,大同區,49201,3.36,2.72,1.47,1.64,1373177,766970,571692,47939,147339,192896,96003,108138,208914,63996,47529,96952,438,-,255,269219,12620,256599,88080,39111,117096,12311,891867,148262,8444,20149,267629,244532,23097,20367,133618,57936,1474,40637,12819,3006,27770,53441,19487,16374,5428,12152,34244,73077,46930,1103958,891867,212091,1469325
101年,萬華區,75824,3.19,2.65,1.32,1.52,1276737,698181,516670,46946,134565,187519,52453,82793,255699,85188,57475,112632,404,-,92,193173,15694,177479,50339,22665,100112,4363,837156,119091,9073,22296,244851,224271,20580,24915,122937,47295,1179,31865,12076,2175,24828,52630,25673,11369,5451,10137,31808,86914,50516,1083564,837156,246408,1369882
101年,文山區,99871,3.31,2.59,1.42,1.63,1527769,895074,643802,53954,197318,221719,114847,88411,207712,62790,47406,97314,203,-,6,301412,22390,279022,88676,62583,127090,673,957187,158173,7058,25176,257428,234016,23412,18805,113843,92227,11866,50805,25783,3773,32399,60669,31432,11688,7202,10347,51270,81420,58719,1226358,957187,269171,1626934
101年,南港區,43458,3.37,2.82,1.59,1.73,1361697,830792,654180,24952,151660,110503,70027,89631,260449,119654,41547,98842,406,-,296,218677,8095,210581,54699,36565,118801,517,864564,125477,7513,20956,266552,243816,22736,20651,108515,57594,694,41996,11907,2997,24744,53135,29376,9894,7400,9883,27014,100269,52146,1143020,864564,278456,1481517
