年月底別,行政區,土地面積[平方公里],里數[里],鄰數[鄰],戶數[戶],人口數/總計[人],人口數/男[人],人口數/女[人],性比例[男/百女],戶量[人/戶],人口密度[人/平方公里]
87年1月,總計,271.7997,435,9892,854969,2600118,1296241,1303877,99.41,3.04,9566
87年1月,松山區,9.2878,33,770,69659,206030,100344,105686,94.95,2.96,22183
87年1月,信義區,11.2077,41,956,81292,239970,121016,118954,101.73,2.95,21411
87年1月,大安區,11.3614,54,1070,108004,314597,153808,160789,95.66,2.91,27690
87年1月,中山區,13.6821,40,892,77279,212317,104070,108247,96.14,2.75,15518
87年1月,中正區,7.6071,31,643,57554,165072,82681,82391,100.35,2.87,21700
87年1月,大同區,5.6815,26,622,42097,133663,67539,66124,102.14,3.18,23526
87年1月,萬華區,8.8522,36,748,68246,208447,106838,101609,105.15,3.05,23547
87年1月,文山區,31.509,37,1049,78231,235659,118020,117639,100.32,3.01,7479
87年1月,南港區,21.8424,18,438,33823,110987,56292,54695,102.92,3.28,5081
87年1月,內湖區,31.5787,29,860,75017,237573,118119,119454,98.88,3.17,7523
87年1月,士林區,62.3682,50,990,89470,293806,146381,147425,99.29,3.28,4711
87年1月,北投區,56.8216,40,854,74297,241997,121133,120864,100.22,3.26,4259
87年2月,總計,271.7997,435,9892,855955,2601042,1296331,1304711,99.36,3.04,9570
87年2月,松山區,9.2878,33,770,69675,206163,100386,105777,94.9,2.96,22197
87年2月,信義區,11.2077,41,956,81380,240113,121057,119056,101.68,2.95,21424
87年2月,大安區,11.3614,54,1070,108069,314733,153779,160954,95.54,2.91,27702
87年2月,中山區,13.6821,40,892,77242,212174,103964,108210,96.08,2.75,15507
87年2月,中正區,7.6071,31,643,57650,165313,82773,82540,100.28,2.87,21731
87年2月,大同區,5.6815,26,622,42244,133954,67693,66261,102.16,3.17,23577
87年2月,萬華區,8.8522,36,748,68374,208424,106824,101600,105.14,3.05,23545
87年2月,文山區,31.509,37,1049,78423,235849,118101,117748,100.3,3.01,7485
87年2月,南港區,21.8424,18,438,33851,110885,56225,54660,102.86,3.28,5077
87年2月,內湖區,31.5787,29,860,75156,237791,118203,119588,98.84,3.16,7530
87年2月,士林區,62.3682,50,990,89498,293672,146288,147384,99.26,3.28,4709
87年2月,北投區,56.8216,40,854,74393,241971,121038,120933,100.09,3.25,4258
87年3月,總計,271.7997,435,9897,857795,2605761,1298479,1307282,99.33,3.04,9587
87年3月,松山區,9.2878,33,770,69805,206454,100545,105909,94.94,2.96,22229
87年3月,信義區,11.2077,41,956,81454,240458,121182,119276,101.6,2.95,21455
87年3月,大安區,11.3614,54,1070,108165,315312,154015,161297,95.49,2.92,27753
87年3月,中山區,13.6821,40,892,77420,212649,104143,108506,95.98,2.75,15542
87年3月,中正區,7.6071,31,643,57713,165552,82864,82688,100.21,2.87,21763
87年3月,大同區,5.6815,26,627,42369,134175,67819,66356,102.2,3.17,23616
87年3月,萬華區,8.8522,36,748,68507,208499,106876,101623,105.17,3.04,23553
87年3月,文山區,31.509,37,1049,78769,236682,118514,118168,100.29,3,7512
87年3月,南港區,21.8424,18,438,33884,110746,56185,54561,102.98,3.27,5070
87年3月,內湖區,31.5787,29,860,75478,238652,118626,120026,98.83,3.16,7557
87年3月,士林區,62.3682,50,990,89673,294242,146526,147716,99.19,3.28,4718
87年3月,北投區,56.8216,40,854,74558,242340,121184,121156,100.02,3.25,4265
87年4月,總計,271.7997,435,9897,859483,2608827,1299671,1309156,99.28,3.04,9598
87年4月,松山區,9.2878,33,770,69886,206698,100640,106058,94.89,2.96,22255
87年4月,信義區,11.2077,41,956,81528,240508,121163,119345,101.52,2.95,21459
87年4月,大安區,11.3614,54,1070,108310,315792,154203,161589,95.43,2.92,27795
87年4月,中山區,13.6821,40,892,77557,212906,104227,108679,95.9,2.75,15561
87年4月,中正區,7.6071,31,643,57805,165707,82923,82784,100.17,2.87,21783
87年4月,大同區,5.6815,26,627,42444,134239,67841,66398,102.17,3.16,23627
87年4月,萬華區,8.8522,36,748,68609,208423,106813,101610,105.12,3.04,23545
87年4月,文山區,31.509,37,1049,79092,237390,118830,118560,100.23,3,7534
87年4月,南港區,21.8424,18,438,33945,110813,56199,54614,102.9,3.26,5073
87年4月,內湖區,31.5787,29,860,75734,239177,118867,120310,98.8,3.16,7574
87年4月,士林區,62.3682,50,990,89835,294485,146592,147893,99.12,3.28,4722
87年4月,北投區,56.8216,40,854,74738,242689,121373,121316,100.05,3.25,4271
87年5月,總計,271.7997,435,9897,861289,2612246,1301049,1311197,99.23,3.03,9611
87年5月,松山區,9.2878,33,770,70003,206953,100750,106203,94.87,2.96,22282
87年5月,信義區,11.2077,41,956,81602,240631,121221,119410,101.52,2.95,21470
87年5月,大安區,11.3614,54,1070,108480,316249,154312,161937,95.29,2.92,27835
87年5月,中山區,13.6821,40,892,77754,213189,104356,108833,95.89,2.74,15582
87年5月,中正區,7.6071,31,643,57914,166050,83043,83007,100.04,2.87,21828
87年5月,大同區,5.6815,26,627,42513,134235,67837,66398,102.17,3.16,23627
87年5月,萬華區,8.8522,36,748,68743,208543,106896,101647,105.16,3.03,23558
87年5月,文山區,31.509,37,1049,79421,238182,119192,118990,100.17,3,7559
87年5月,南港區,21.8424,18,438,34001,110896,56256,54640,102.96,3.26,5077
87年5月,內湖區,31.5787,29,860,75909,239423,118971,120452,98.77,3.15,7582
87年5月,士林區,62.3682,50,990,90000,294840,146702,148138,99.03,3.28,4727
87年5月,北投區,56.8216,40,854,74949,243055,121513,121542,99.98,3.24,4278
