Name,Longtitude,Latitude,Address,Area,St,Li,Lin,ZIP,Enrollment_Number
臺北市松山區三民國民小學附設幼兒園,121.5642802,25.0632098,臺北市松山區莊敬里12鄰民權東路五段1號1樓,松山區,民權東路,莊敬里,12鄰,105,120
臺北市松山區民權國民小學附設幼兒園,121.5623038,25.0623873,臺北市松山區三民里32鄰民權東路四段200號1樓,松山區,民權東路,三民里,32鄰,105,212
臺北市松山區民族國民小學附設幼兒園,121.5517982,25.0594953,臺北市松山區精忠里4鄰民生東路四段97巷7號1樓,松山區,民生東路,精忠里,4鄰,105,180
臺北市立松山幼兒園,121.5514708,25.0567475,臺北市松山區精忠里1鄰敦化北路199巷5號2樓,松山區,敦化北路,精忠里,1鄰,105,180
臺北市松山區西松國民小學附設幼兒園,121.5634876,25.0523018,臺北市松山區東光里22鄰三民路5號1樓及2樓,松山區,三民路,東光里,22鄰,105,256
臺北市松山區松山國民小學附設幼兒園,121.5718394,25.0496978,臺北市松山區慈祐里20鄰八德路四段746號1樓,松山區,八德路,慈祐里,20鄰,105,182
臺北市松山區健康國民小學附設幼兒園,121.5627846,25.0566674,臺北市松山區自強里3鄰延壽街168號1樓,松山區,延壽街,自強里,3鄰,105,90
臺北市松山區敦化國民小學附設幼兒園,121.5485313,25.0491742,臺北市松山區中正里10鄰敦化北路2號1樓,松山區,敦化北路,中正里,10鄰,105,120
臺北市立信義幼兒園,121.55965,25.0349989,臺北市信義區西村里18鄰基隆路一段364巷20、24號,信義區,基隆路,西村里,18鄰,110,240
臺北市信義區光復國民小學附設幼兒園,121.5578014,25.0401432,臺北市信義區興隆里9鄰光復南路271號,信義區,光復南路,興隆里,9鄰,110,166
臺北市信義區博愛國民小學附設幼兒園,121.5709566,25.0363244,臺北市信義區安康里23鄰松仁路95巷20號,信義區,松仁路,安康里,23鄰,110,90
臺北市信義區興雅國民小學附設幼兒園,121.5696554,25.047249,臺北市信義區雅祥里5鄰基隆路一段83巷9號,信義區,基隆路,雅祥里,5鄰,110,166
臺北市信義區永春國民小學附設幼兒園,121.5792757,25.0442311,臺北市信義區永春里22鄰松山路225巷48號,信義區,松山路,永春里,22鄰,110,220
臺北市信義區永吉國民小學附設幼兒園,121.5798853,25.0430088,臺北市信義區永春里15鄰松山路287巷5號,信義區,松山路,永春里,15鄰,110,136
臺北市信義區福德國民小學附設幼兒園,121.5866882,25.0388636,臺北市信義區中行里18鄰褔德街253號,信義區,褔德街,中行里,18鄰,110,136
臺北市信義區信義國民小學附設幼兒園,121.563181,25.031566,臺北市信義區景新里17鄰松勤街60號,信義區,松勤街,景新里,17鄰,110,180
臺北市信義區吳興國民小學附設幼兒園,121.5687156,25.0257427,臺北市信義區三張里1鄰松仁路226號,信義區,松仁路,三張里,1鄰,110,136
臺北市信義區三興國民小學附設幼兒園,121.558267,25.029467,臺北市信義區景聯里8鄰基隆路二段99號,信義區,基隆路,景聯里,8鄰,110,166
