機構名稱,Longitude,Latitude,Address,Area,St
佳譽堂中醫診所,121.5169985,25.03048056,臺北市中正區寧波西街71號,中正區,寧波西街
仲景中醫診所,121.5273294,25.04362777,臺北市中正區忠孝東路2段16號2樓,中正區,忠孝東路
華御中醫診所,121.5310508,25.04047975,臺北市中正區濟南路2段51號,中正區,濟南路
日明耀中醫診所,121.5130979,25.04360909,臺北市中正區重慶南路一段66之1號2樓之1,中正區,重慶南路
華陽中醫診所,121.5324342,25.04321262,臺北市中正區新生南路一段16之4號,中正區,新生南路
益壽中醫診所,121.5178475,25.03097872,臺北市中正區寧波西街47號3樓,中正區,寧波西街
溫?中醫診所,121.5316285,25.04107676,臺北市中正區忠孝東路二段134巷16號2樓,中正區,忠孝東路
李思儀中醫診所,121.5284571,25.03701966,臺北市中正區金山南路1段73巷6號,中正區,金山南路
宏達中醫診所,121.5336536,25.01420033,臺北市中正區汀州路三段211號2樓,中正區,汀州路
榮星中醫診所,121.5230452,25.02588646,臺北市中正區羅斯福路二段140號2樓之1,中正區,羅斯福路
六節中醫診所,121.5232898,25.02272624,臺北市中正區汀州路二段198號,中正區,汀州路
喜豐堂中醫診所,121.5113885,25.04440835,臺北市中正區博愛路88號(使用第一層),中正區,博愛路
時代中醫診所,121.5319036,25.0168101,臺北市中正區羅斯福路三段272號10樓,中正區,羅斯福路
天心中醫診所,121.5119988,25.0441576,臺北市中正區武昌街一段33號(1樓、2樓、3樓)、武昌街一段35號4樓,中正區,武昌街
東門中醫診所,121.5301781,25.03431694,臺北市中正區連雲街81號2樓,中正區,連雲街
茂澤中醫診所,121.5303148,25.04253452,臺北市中正區臨沂街6巷5號,中正區,臨沂街
汀洲中醫診所,121.5225884,25.02357735,臺北市中正區汀州路二段213號,中正區,汀州路
厚德中醫診所,121.5172929,25.03128302,臺北市中正區南昌路一段53號,中正區,南昌路
怡安堂中醫診所,121.5278194,25.03584085,臺北市中正區金山南路一段125號、125之1號,中正區,金山南路
極上中醫診所,121.529754,25.01692596,臺北市中正區汀州路三段105號,中正區,汀州路
薛宏昇中醫診所,121.5264258,25.04386058,臺北市中正區忠孝東路一段176號4樓之2,中正區,忠孝東路
彭燕婷中醫診所,121.5301579,25.03415099,臺北市中正區連雲街85號2樓,中正區,連雲街
沂禾中醫診所,121.5316558,25.0397682,臺北市中正區臨沂街33巷38號,中正區,臨沂街
羅福中醫診所,121.5220446,25.02725181,臺北市中正區羅斯福路二段70號6樓之6,中正區,羅斯福路
國健中醫診所,121.5148967,25.04612062,臺北市中正區館前路6號7樓之7,中正區,館前路
