機構名稱,Longitude,Latitude,Address,Area,St
郵政醫院（委託中英醫療社團法人經營）,121.5186982,25.02874869,臺北市中正區福州街14號,中正區,福州街
國立台灣大學醫學院附設醫院,121.5183428,25.03553921,臺北市中正區中山南路７、８號；常德街１號,中正區,中山南路
國立臺灣大學醫學院附設醫院兒童醫院,121.5187506,25.04434314,臺北市中正區中山南路8號,中正區,中山南路
臺北市立聯合醫院,121.5088874,25.05069244,臺北市大同區鄭州路145號,大同區,鄭州路
泰安醫院,121.5316407,25.06145984,臺北市中山區民權東路二段９２巷２之1號(地下一樓至地上六樓),中山區,民權東路
協和婦女醫院,121.5339434,25.05027331,臺北市中山區松江路85巷5號1，2，3，4樓、93巷6號1，2，4樓,中山區,松江路
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,121.522558,25.05888423,臺北市中山區中山北路二段９２號,中山區,中山北路
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,121.522558,25.05888423,臺北市中山區中山北路2段92號,中山區,中山北路
長庚醫療財團法人台北長庚紀念醫院,121.5485556,25.05023183,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,松山區,敦化北路
基督復臨安息日會醫療財團法人臺安醫院,121.5444842,25.04758836,"臺北市松山區八德路二段424,426號",松山區,八德路
博仁綜合醫院,121.557695,25.04990354,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,松山區,光復北路
培靈醫院,121.5682821,25.04940059,臺北市松山區八德路四段３５５號,松山區,八德路
三軍總醫院松山分院附設民眾診療服務處,121.5577045,25.05394015,臺北市松山區健康路１３１號,松山區,健康路
中山醫療社團法人中山醫院,121.5497106,25.03655173,臺北市大安區仁愛路四段112巷11號,大安區,仁愛路
國立臺灣大學醫學院附設癌醫中心醫院,121.5439164,25.01449586,臺北市大安區基隆路 3段155巷57號 ,大安區,基隆路
秀傳醫院,121.5568623,25.04311217,臺北市大安區光復南路116巷1、3、5號1至4樓及地下1樓,大安區,光復南路
宏恩醫療財團法人宏恩綜合醫院,121.5470295,25.03849645,臺北市大安區仁愛路四段７１巷１號,大安區,仁愛路
中心診所醫療財團法人中心綜合醫院,121.5473297,25.04186487,臺北市大安區忠孝東路四段７７號,大安區,忠孝東路
國泰醫療財團法人國泰綜合醫院,121.5528014,25.03717848,臺北市大安區仁愛路四段266巷6號，280號,大安區,仁愛路
同仁院醫療財團法人萬華醫院,121.5098259,25.02405006,臺北市萬華區中華路二段６０６巷６號,萬華區,中華路
財團法人台灣省私立台北仁濟院附設仁濟醫院,121.5042335,25.03642709,臺北市萬華區廣州街２００，２４３號,萬華區,廣州街
西園醫療社團法人西園醫院,121.4945402,25.0277877,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,萬華區,西園路
國立臺灣大學醫學院附設醫院北護分院,121.5025511,25.04222858,臺北市萬華區康定路３７號、臺北市萬華區內江街87號 ,萬華區,康定路
臺北醫學大學附設醫院,121.5636377,25.02663801,臺北市信義區吳興街２５2號、250號,信義區,吳興街
新光醫療財團法人新光吳火獅紀念醫院,121.5202887,25.0962409,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號,士林區,文昌路
三軍總醫院北投分院附設民眾診療服務處,121.5097013,25.1398048,臺北市北投區新民路６０號 中和街二五○號,北投區,新民路
臺北市北投健康管理醫院,121.5037059,25.13758475,臺北市北投區中和街2號,北投區,中和街
醫療財團法人辜公亮基金會和信治癌中心醫院,121.4720113,25.12834055,臺北市北投區立德路１２５號,北投區,立德路
振興醫療財團法人振興醫院,121.5224005,25.11754255,臺北市北投區振興街４５號,北投區,振興街
臺北市立關渡醫院─委託臺北榮民總醫院經營,121.4663577,25.12018758,臺北市北投區知行路二二五巷十二號,北投區,知行路
臺北榮民總醫院,121.5191658,25.11918228,臺北市北投區石牌路二段201號、322號,北投區,石牌路
中國醫藥大學附設醫院臺北分院,121.5905997,25.08212491,臺北市內湖區內湖路二段360號,內湖區,內湖路
康寧醫療財團法人康寧醫院,121.6087792,25.07595162,臺北市內湖區成功路五段４２０巷２６號,內湖區,成功路
三軍總醫院附設民眾診療服務處,121.5919821,25.07180042,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,內湖區,成功路
臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,121.5583303,25.00030628,臺北市文山區興隆路三段111號,文山區,興隆路
景美醫院,121.5405334,24.99001925,臺北市文山區羅斯福路六段280號、文山區育英街2巷18號、文山區羅斯福路六段276巷1號1樓,文山區,羅斯福路
