Area,EightCount,ParkCount,FuneralCount,GasCount,CrimeCount,PoliceCount,busCount,subwayCount,govCount,clinicCount,hospitalCount,pharmacyCount,fireareaCount,firewayCount
中山區,77,8,132,7,904,13,280,8,33,486,4,98,80,18
信義區,16,3,24,2,300,8,187,5,58,295,1,79,74,8
大安區,18,5,96,8,413,8,243,6,29,862,6,93,26,42
松山區,12,1,4,6,325,4,133,4,24,302,5,68,37,14
萬華區,13,2,9,4,707,12,146,1,27,179,4,61,17,35
中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38
大同區,6,5,25,1,240,9,118,4,28,160,1,35,6,25
文山區,3,6,17,6,265,14,344,3,39,195,2,65,21,35
內湖區,1,5,0,16,361,10,303,7,28,255,3,64,49,10
北投區,1,6,7,8,469,12,434,8,32,200,6,71,3,16
士林區,1,7,6,8,481,12,578,3,38,314,1,86,17,24
南港區,0,9,1,2,285,7,208,5,18,83,0,35,16,2
