type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度,地址,市,行政區域
Feature,18077.0,大度立德路口,Point,"121.47095010059569, 25.123118364817024",121.47095010059569,25.123118364817024,台灣台北市北投區大度立德路口,台北市,北投區
Feature,2420.0,政大御花園,Point,"121.58726642785035, 24.985656492705512",121.58726642785037,24.985656492705512,台灣台北市文山區政大御花園,台北市,文山區
Feature,5001.0,富德里,Point,"121.59592044630422, 25.004216561659135",121.59592044630422,25.00421656165913,台灣台北市文山區富德里,台北市,文山區
Feature,1726.0,舊莊公園,Point,"121.62089469444997, 25.041070559250997",121.62089469444996,25.041070559250997,台灣台北市南港區舊莊公園(宜興街口),台北市,南港區
Feature,1000152.0,舊莊站,Point,"121.62293320733995, 25.038506816257975",121.62293320733995,25.038506816257968,台灣台北市南港區舊莊,台北市,南港區
Feature,35.0,關渡,Point,"121.46523, 25.12488",121.46523,25.124879999999997,台灣台北市北投區關渡,台北市,北投區
Feature,18076.0,關渡,Point,"121.46501707415095, 25.123382320859385",121.46501707415095,25.123382320859385,台灣台北市北投區關渡,台北市,北投區
Feature,546.0,關渡站,Point,"121.46996, 25.12217",121.46996000000001,25.12217,台灣台北市北投區知行路112號,台北市,北投區
Feature,2028.0,101國際購物中心,Point,"121.56528624333055, 25.03421075358973",121.56528624333056,25.03421075358973,台灣台北市信義區101國際購物中心,台北市,信義區
Feature,350.0,48號公園,Point,"121.51220691787995, 25.142618161451015",121.51220691787995,25.14261816145101,台灣台北市北投區珠海路186號,台北市,北投區
Feature,4167.0,8號水門,Point,"121.53972071036998, 25.07365103518897",121.53972071036999,25.07365103518897,台灣台北市中山區八號水門,台北市,中山區
Feature,4168.0,8號水門,Point,"121.54003237173997, 25.073556959763984",121.54003237173995,25.073556959763984,台灣台北市中山區台北市中山區大佳里,台北市,中山區
Feature,1847.0,一女中(公園),Point,"121.51496271163997, 25.038007823005998",121.51496271163995,25.038007823006,台灣台北市中正區一女中(公園),台北市,中正區
Feature,6713.0,一女中(公園),Point,"121.51513659515608, 25.036828535730784",121.51513659515608,25.036828535730788,台灣台北市中正區一女中(公園),台北市,中正區
Feature,1000628.0,一女中(重慶),Point,"121.51282376648415, 25.037670126939503",121.51282376648416,25.037670126939503,台灣台北市中正區一女中(重慶),台北市,中正區
Feature,4611.0,一女中(貴陽),Point,"121.51448091421602, 25.038764587941536",121.51448091421602,25.038764587941536,台灣台北市中正區一女中(貴陽),台北市,中正區
Feature,4612.0,一女中(貴陽),Point,"121.51453506277763, 25.038611450868412",121.51453506277764,25.038611450868412,台灣台北市中正區一女中(貴陽),台北市,中正區
Feature,3972.0,一德街口,Point,"121.46868224536998, 25.128289441603965",121.46868224536999,25.128289441603965,台灣台北市北投區中央北路四段507號,台北市,北投區
Feature,199.0,一德街口,Point,"121.46845889681997, 25.128362140338947",121.46845889681995,25.12836214033895,台灣台北市北投區中央北路四段509號,台北市,北投區
Feature,50524.0,七星山,Point,"121.54291, 25.17979",121.54291,25.17979,台灣台北市北投區百拉卡公路入口,台北市,北投區
Feature,4740.0,七海文化園區,Point,"121.53723973281997, 25.07772762865598",121.53723973281996,25.077727628655982,台灣台北市中山區北安路305號,台北市,中山區
Feature,1848.0,二二八和平公園,Point,"121.51244235506095, 25.042335690161153",121.51244235506095,25.042335690161156,台灣台北市中正區衡陽路41號,台北市,中正區
Feature,1000979.0,二二八紀念館,Point,"121.51391, 25.03076",121.51391000000001,25.03076,台灣台北市中正區重慶南路二段70巷13號,台北市,中正區
Feature,1733.0,人壽一村,Point,"121.48933711638998, 25.032065218778033",121.48933711638998,25.032065218778033,台灣台北市萬華區長順街44號,台北市,萬華區
Feature,1001234.0,人壽一村,Point,"121.48951770898995, 25.032073469655955",121.48951770898995,25.032073469655952,台灣台北市萬華區長順街105號,台北市,萬華區
Feature,1000409.0,八勝園,Point,"121.51167916336998, 25.141255281051013",121.51167916336998,25.141255281051013,台灣台北市北投區泉源路55號,台北市,北投區
Feature,8.0,八勝園,Point,"121.51170101851997, 25.141390542430027",121.51170101851996,25.141390542430027,台灣台北市北投區泉源路55號,台北市,北投區
Feature,1168.0,八德市場,Point,"121.5373, 25.0446",121.5373,25.0446,台灣台北市大安區市民大道四段180號,台北市,大安區
Feature,1001122.0,八德市場,Point,"121.53767, 25.04487",121.53766999999999,25.04487,台灣台北市中山區市民大道5號,台北市,中山區
Feature,1488.0,八德敦化路口,Point,"121.54874, 25.04864",121.54874,25.04864,台灣台北市松山區八德敦化路口,台北市,松山區
Feature,2362.0,力行國小,Point,"121.5602830067166, 24.981611615429788",121.56028300671659,24.981611615429788,台灣台北市文山區木新路三段183號,台北市,文山區
Feature,1000554.0,力行國小,Point,"121.55978393242218, 24.981380265780075",121.55978393242218,24.98138026578007,台灣台北市文山區力行國小,台北市,文山區
Feature,9443.0,力行新城,Point,"121.53808801719997, 25.08354023551698",121.53808801719995,25.08354023551698,台灣台北市中山區通北街109號,台北市,中山區
Feature,1.0,十八份,Point,"121.52316, 25.15045",121.52316,25.15045,台灣台北市北投區十八份,台北市,北投區
Feature,5015.0,十八份,Point,"121.523, 25.15034",121.523,25.15034,台灣台北市北投區十八份,台北市,北投區
Feature,2.0,十八份福德宮,Point,"121.52225, 25.14767",121.52225,25.14767,台灣台北市北投區十八份福德宮,台北市,北投區
Feature,1001313.0,十八份福德宮,Point,"121.5223, 25.147905",121.5223,25.147904999999998,台灣台北市北投區十八份福德宮,台北市,北投區
Feature,6.0,十信高中(大業),Point,"121.4961536392592, 25.13390226891671",121.4961536392592,25.13390226891671,台灣台北市北投區大業路514號,台北市,北投區
Feature,4.0,十信高中(大業),Point,"121.49680663417114, 25.13571823360099",121.49680663417114,25.13571823360099,台灣台北市北投區幼華高中(大業),台北市,北投區
Feature,5.0,十信高中(北投),Point,"121.49676452945961, 25.134217114894803",121.4967645294596,25.134217114894806,台灣台北市北投區幼華高中(北投),台北市,北投區
Feature,1851.0,三元南海路口,Point,"121.50912201223998, 25.029292196934",121.50912201223998,25.029292196933998,台灣台北市中正區三元街56號,台北市,中正區
Feature,1001446.0,三元南海路口,Point,"121.50928983928996, 25.029331534075983",121.50928983928995,25.029331534075986,台灣台北市中正區三元街73號,台北市,中正區
Feature,1849.0,三元街,Point,"121.51336256216996, 25.027473281808998",121.51336256216996,25.027473281809,台灣台北市中正區三元街244號,台北市,中正區
Feature,20400.0,三元街,Point,"121.51256, 25.02767",121.51256000000001,25.02767,台灣台北市中正區三元街,台北市,中正區
Feature,4621.0,三元街口,Point,"121.50861226256998, 25.029297",121.50861226256998,25.029297,台灣台北市中正區南海路75號,台北市,中正區
Feature,1850.0,三元街口,Point,"121.50914390674997, 25.029839198674946",121.50914390674996,25.029839198674946,台灣台北市中正區三元街口,台北市,中正區
Feature,1001349.0,三王宮,Point,"121.50524704957996, 25.099520457023008",121.50524704957995,25.09952045702301,台灣台北市北投區洲美街123號,台北市,北投區
Feature,7203.0,三王宮,Point,"121.50602, 25.09915",121.50601999999999,25.09915,台灣台北市北投區洲美街99號,台北市,北投區
