Area,EightCount,ParkCount,FuneralCount,GasCount,CrimeCount,PoliceCount,busCount,subwayCount,govCount,clinicCount,hospitalCount,pharmacyCount,fireareaCount,firewayCount,土地面積,總人口數,男性人數,女性人數,人口密度,每戶人數,每戶成年人數,所得收入總計,可支配所得,消費支出,儲蓄,所得總額
中山區,77,8,132,7,904,13,280,8,33,486,4,98,80,18,13.6821,224707,104138,120569,16423,2.89,2.51,1614178,1339702,1071429,268273,1720988
信義區,16,3,24,2,300,8,187,5,58,295,1,79,74,8,11.2077,216015,102546,113469,19274,2.98,2.65,1809238,1537519,1200421,337098,1944642
大安區,18,5,96,8,413,8,243,6,29,862,6,93,26,42,11.3614,303209,141137,162072,26688,3.03,2.6,1961348,1590202,1299939,290263,2109095
松山區,12,1,4,6,325,4,133,4,24,302,5,68,37,14,9.2878,200767,93749,107018,21616,3.1,2.69,1882186,1549005,1261799,287205,2027777
萬華區,13,2,9,4,707,12,146,1,27,179,4,61,17,35,8.8522,183633,89891,93742,20744,3.07,2.66,1492804,1234736,1010475,224261,1572599
中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
大同區,6,5,25,1,240,9,118,4,28,160,1,35,6,25,5.6815,124081,60123,63958,21839,3.12,2.64,1575517,1313356,1012764,300591,1660340
文山區,3,6,17,6,265,14,344,3,39,195,2,65,21,35,31.509,268657,128352,140305,8526,3.09,2.58,1617574,1348206,1139546,208660,1730811
內湖區,1,5,0,16,361,10,303,7,28,255,3,64,49,10,31.5787,282965,134826,148139,8961,3.27,2.82,1719507,1371682,1206333,165349,1850136
北投區,1,6,7,8,469,12,434,8,32,200,6,71,3,16,56.8216,250566,120295,130271,4410,3.3,2.79,1655468,1377702,1085141,292561,1747667
士林區,1,7,6,8,481,12,578,3,38,314,1,86,17,24,62.3682,279188,134375,144813,4476,3.3,2.77,1815176,1488023,1149631,338391,1918797
南港區,0,9,1,2,285,7,208,5,18,83,0,35,16,2,21.8424,119036,58064,60972,5450,3.08,2.68,1597905,1353455,1082222,271232,1670561
