鄉鎮市區,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,總樓層數,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,土地,建物,車位,轉移樓層,建物類型
中正區,18.51,住,1060225,13,住家用,混凝土造,152.07,3,2,2,有,無,40000000,294233,升降機械,24.62,2500000,1,1,1,10,住宅大樓
北投區,18.59,住,1040913,9,住家用,鋼筋混凝土造,84.96,2,2,1,有,無,15550000,183027,0,0.0,0,1,1,0,7,華廈
內湖區,24.44,住,1080607,15,住家用,鋼筋混凝土造,148.37,3,2,2,有,無,21180000,147721,坡道機械,16.5,1700000,1,1,1,2,住宅大樓
內湖區,27.25,住,1080623,15,住家用,鋼筋混凝土造,163.26,4,2,2,有,無,24100000,153993,坡道機械,16.5,1500000,1,1,1,4,住宅大樓
內湖區,27.25,住,1080705,15,住家用,鋼筋混凝土造,163.26,4,2,2,有,無,25000000,160807,坡道機械,16.5,1400000,1,1,1,11,住宅大樓
內湖區,27.25,住,1081030,15,住家用,鋼筋混凝土造,163.26,4,2,2,有,無,25700000,163532,坡道機械,16.5,1700000,1,1,1,13,住宅大樓
內湖區,27.25,住,1080919,15,住家用,鋼筋混凝土造,163.26,4,2,2,有,無,25350000,163192,坡道機械,16.5,1400000,1,1,1,14,住宅大樓
內湖區,27.5,住,1080615,15,住家用,鋼筋混凝土造,148.07,4,2,2,有,無,21830000,147430,0,0.0,0,1,1,0,2,住宅大樓
內湖區,27.25,住,1080704,15,住家用,鋼筋混凝土造,163.26,4,2,2,有,無,23250000,148201,坡道機械,16.5,1500000,1,1,1,2,住宅大樓
內湖區,27.25,住,1080925,15,住家用,鋼筋混凝土造,163.26,4,2,2,有,無,24000000,153312,坡道機械,16.5,1500000,1,1,1,3,住宅大樓
內湖區,27.25,住,1080616,15,住家用,鋼筋混凝土造,163.26,4,2,2,有,無,24500000,155356,坡道機械,16.5,1700000,1,1,1,5,住宅大樓
內湖區,27.25,住,1080620,15,住家用,鋼筋混凝土造,163.26,4,2,2,有,無,25540000,163805,坡道機械,16.5,1500000,1,1,1,12,住宅大樓
內湖區,27.25,住,1080609,15,住家用,鋼筋混凝土造,163.26,4,2,2,有,無,25740000,163805,坡道機械,16.5,1700000,1,1,1,13,住宅大樓
