Date,Area,value
2014-01-01,松山區,819202.750947439
2014-01-01,信義區,653901.545253833
2014-01-01,大安區,672177.341701902
2014-01-01,中山區,647793.985605249
2014-01-01,中正區,732823.883105587
2014-01-01,大同區,552837.349184687
2014-01-01,萬華區,463935.049807335
2014-01-01,文山區,466546.172180444
2014-01-01,南港區,560690.696557265
2014-01-01,內湖區,540486.539699614
2014-01-01,士林區,541110.412145984
2014-01-01,北投區,454365.248738816
2014-02-01,松山區,772569.52575929
2014-02-01,信義區,675527.7688506
2014-02-01,大安區,706915.58689774
2014-02-01,中山區,642942.192547018
2014-02-01,中正區,707075.084203604
2014-02-01,大同區,555037.386649955
2014-02-01,萬華區,477651.654908189
2014-02-01,文山區,468298.420462333
2014-02-01,南港區,560224.515583911
2014-02-01,內湖區,537140.530690806
2014-02-01,士林區,551584.092379016
2014-02-01,北投區,456174.246892396
2014-03-01,松山區,713009.524205505
2014-03-01,信義區,656629.764809667
2014-03-01,大安區,690846.372379271
2014-03-01,中山區,628293.595006592
2014-03-01,中正區,668479.705262569
2014-03-01,大同區,556299.542226837
2014-03-01,萬華區,462972.615870831
2014-03-01,文山區,477211.471772945
2014-03-01,南港區,571322.975984262
2014-03-01,內湖區,531318.475799024
2014-03-01,士林區,548075.842368015
2014-03-01,北投區,470715.012114701
2014-04-01,松山區,709443.252018868
2014-04-01,信義區,652808.890732143
2014-04-01,大安區,690473.500540518
2014-04-01,中山區,627784.80590232
2014-04-01,中正區,679990.05422675
2014-04-01,大同區,557552.437317864
2014-04-01,萬華區,467002.162514489
2014-04-01,文山區,477122.779258123
2014-04-01,南港區,554572.077615604
2014-04-01,內湖區,540387.514659937
2014-04-01,士林區,543393.482549944
2014-04-01,北投區,463733.828796989
2014-05-01,松山區,707123.822123804
2014-05-01,信義區,641864.50286614
2014-05-01,大安區,705413.095756951
2014-05-01,中山區,641831.662171443
2014-05-01,中正區,660173.146103893
2014-05-01,大同區,547222.796269071
2014-05-01,萬華區,487245.732500489
2014-05-01,文山區,476123.128858946
2014-05-01,南港區,576406.019441615
2014-05-01,內湖區,533500.078498741
2014-05-01,士林區,559487.502256474
2014-05-01,北投區,482406.137019846
2014-06-01,松山區,704719.101745795
2014-06-01,信義區,642996.274584115
2014-06-01,大安區,688666.616110913
2014-06-01,中山區,630722.154174164
2014-06-01,中正區,628533.074514361
2014-06-01,大同區,547358.228371678
2014-06-01,萬華區,471376.115222012
2014-06-01,文山區,479906.46565725
2014-06-01,南港區,561840.168890331
2014-06-01,內湖區,537778.960856047
2014-06-01,士林區,550725.636056506
2014-06-01,北投區,492688.410871512
2014-07-01,松山區,707131.137181384
2014-07-01,信義區,644305.529060762
2014-07-01,大安區,711834.494523769
2014-07-01,中山區,644048.069557216
