Name,Longtitude,Latitude,Address,Area,St,AgencyCode,TEL,TEL2
臺北市政府,121.5639969,25.037531,臺北市信義區市府路1號,信義區,市府路,379000000A,02-27208889,
臺北市政府秘書處,121.5639969,25.037531,臺北市信義區市府路1號10、11樓,信義區,市府路,379010000A,02-27208889,
臺北市市政大樓公共事務管理中心,121.5639969,25.037531,臺北市信義區市府路1號12樓北區,信義區,市府路,379010300A,02-27258614#8614,
臺北市政府民政局,121.56443270000001,25.0375417,臺北市信義區市府路1號9樓中央區,信義區,市府路,379020000A,02-27208889,02-27256180
臺北市孔廟管理委員會,121.5161793,25.0727623,臺北市大同區大龍街275號,大同區,大龍街,379020200E,02-25923934,
臺北市殯葬管理處,121.55255249999999,25.013534699999997,臺北市大安區辛亥路３段330號,大安區,辛亥路,379020500J,02-87329686,
臺北市松山區戶政事務所,121.5773162,25.0498767,臺北市松山區八德路4段692號4樓,松山區,八德路,379023000A,02-27533043,
臺北市信義區戶政事務所,121.56684740000001,25.0333271,臺北市信義區信義路5段15號2樓,信義區,信義路,379023100A,02-27233977,
臺北市大安區戶政事務所,121.5345108,25.0264198,臺北市大安區新生南路2段86號,大安區,新生南路,379023200A,02-23587877,
臺北市中山區戶政事務所,121.53356799999999,25.064444,臺北市中山區松江路367號2樓,中山區,松江路,379023300A,02-25032461,
臺北市中正區戶政事務所,121.54149620000001,25.0418922,臺北市中正區忠孝東路1段108號7樓,中正區,忠孝東路,379023400A,02-23948838,
臺北市大同區戶政事務所,121.51511940000002,25.06606,臺北市大同區昌吉街57號3樓之1,大同區,昌吉街,379023500A,02-25942569,
臺北市南港區戶政事務所,121.6068639,25.054565399999998,臺北市南港區南港路1段360號4樓,南港區,南港路,379024000A,02-27825196#137,02-27825546
臺北市內湖區戶政事務所,121.58908629999999,25.069318799999998,臺北市內湖區民權東路6段99號3樓,內湖區,民權東路,379024100A,02-27912277,
臺北市士林區戶政事務所,121.5195703,25.0927483,臺北市士林區中正路439號3樓,士林區,中正路,379024200A,02-28803252,
臺北市北投區戶政事務所,121.50292879999999,25.1323774,臺北市北投區新市街30號3樓,北投區,新市街,379024300A,02-28924170,
臺北市文山區戶政事務所,121.57008259999999,24.989639999999998,臺北市文山區木柵路3段220號2樓,文山區,木柵路,379024400A,02-29395885,
臺北市萬華區戶政事務所,121.49988799999998,25.035002300000002,臺北市萬華區和平西路3段120號5樓,萬華區,和平西路,379024500A,02-23062706,
臺北市政府財政局,121.56443270000001,25.0375417,臺北市信義區市府路1號7、8樓中央區,信義區,市府路,379030000D,02-27208889,
臺北市稅捐稽徵處,121.5223865,25.0470254,臺北市中正區北平東路7之2號,中正區,北平東路,379030100D,02-23949211,
